period_year,period_month,bill_date,distributor_code,stockist_code,stockist_name,hq_code,hq_name,mr_emp_id,mr_name,raw_product_code,raw_product_name,brand,canonical_product_code,quantity,amount
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0156,,AMINOGLOBIN-XT,I0156,5.0,948.2
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0018,,SERVIL-LS JUNIOR,I0018,10.0,630.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0071,,SERVIL-D,I0071,10.0,816.4
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0044,,SERVIL LS- BABY DROPS,I0044,10.0,501.4
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0037,,SERVIL JUNIOR,I0037,10.0,630.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0184,,SERVIL HERBAL COUGH SYRUP,I0184,10.0,617.1
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0197,,ORT+,I0197,50.0,4243.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0274,,MV 30 TAB,I0274,45.0,2965.5
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0272,,MV 30 SYRUP,I0272,54.0,5008.5
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0023,,LORAMYL,I0023,21.0,350.7
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0108,,SERVIL-LS SYRUP,I0108,10.0,855.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0036,,CONIDERM-MX,I0036,10.0,610.7
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0053,,COLDAID SUSPENSION,I0053,10.0,630.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0296,,I0296,I0296,1.0,0.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0196,,COLDAID +,I0196,21.0,1347.78
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0111,,ARDEN MF SUSPENSION,I0111,20.0,990.0
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0006,,ARDEN JUNIOR,I0006,22.0,394.02
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0165,,ARDEN A,I0165,20.0,822.8
2025,9,2025-09-11,2.0,C1078,CARE PHARMA,S0217,MUMBAI,M01108,,I0010,,ARDEN 650,I0010,21.0,462.63
