distributor_code,distributor_name,distributor_city,stockist_code,stockist_name,hq_code,hq_name,area,region,zone,be_emp_id_1,be_emp_id_2,be_emp_id_3,asm_emp_id,rsm_emp_id,zm_emp_id,vp_emp_id
002,ADONIS LABORATORIES PVT LTD,MUMBAI,C1078,CARE PHARMA,S0217,MUMBAI,MUMBAI,MAHARASHTRA,WEST ZONE,,,,,,,ADLA02
002,ADONIS LABORATORIES PVT LTD,MUMBAI,C1082,JAS PHARMA,S0217,MUMBAI,MUMBAI,MAHARASHTRA,WEST ZONE,,,,,,,ADLA02
002,ADONIS LABORATORIES PVT LTD,MUMBAI,C1098,MINI DISTRIBUTORS,S0217,MUMBAI,MUMBAI,MAHARASHTRA,WEST ZONE,,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0357,MANOJ MEDICAL AGENCY,S0012,ARRAH,ARRAH,BIHAR,EAST ZONE,ADLA70,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0407,JAI MAA DURGA MEDICAL AGENCY,S0012,ARRAH,ARRAH,BIHAR,EAST ZONE,ADLA70,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0913,BAIJNATH MEDICALS,S0012,ARRAH,ARRAH,BIHAR,EAST ZONE,ADLA70,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0914,SHREE RAM PHARMA,S0012,ARRAH,ARRAH,BIHAR,EAST ZONE,ADLA70,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1050,ARADHYA MEDICALS ENTERPRISES,S0012,ARRAH,ARRAH,BIHAR,EAST ZONE,ADLA70,,,,,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0708,SHIVAM MEDICAL AGENCY-,S0037,BIHARSHARIF,BIHARSHARIF,BIHAR,EAST ZONE,ADLA81,,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0787,SHIVAM DRUG AGENCY,S0037,BIHARSHARIF,BIHARSHARIF,BIHAR,EAST ZONE,ADLA81,,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0795,AKASH MEDICO,S0037,BIHARSHARIF,BIHARSHARIF,BIHAR,EAST ZONE,ADLA81,,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1102,DURGA MEDICAL AGENCY,S0037,BIHARSHARIF,BIHARSHARIF,BIHAR,EAST ZONE,ADLA81,,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0799,SHIWANGI PHARMACEUTICALS,S0058,DARBANGA,DARBANGA,BIHAR,EAST ZONE,ADLA82,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0872,DEO DRUG AGENCY,S0058,DARBANGA,DARBANGA,BIHAR,EAST ZONE,ADLA82,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0936,KRISHNA DRUGS ENTERPRISES,S0058,DARBANGA,DARBANGA,BIHAR,EAST ZONE,ADLA82,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1077,SHREE SIDDHI DRUG,S0092,HAJIPUR,HAJIPUR,BIHAR,EAST ZONE,ADLA74,,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0709,NISHA DRUGS AGENCY,S0182,SAMASTIPUR,SAMASTIPUR,BIHAR,EAST ZONE,ADLA86,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0940,RISHI RAJ DRUGS,S0182,SAMASTIPUR,SAMASTIPUR,BIHAR,EAST ZONE,ADLA86,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C1065,THAKUR DRUG AGENCY,S0182,SAMASTIPUR,SAMASTIPUR,BIHAR,EAST ZONE,ADLA86,,,ADLA15,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0355,JAI MATA DI DRUG DISTRS.,S0270,PATNA,PATNA,BIHAR,EAST ZONE,ADLA73,ADLA72,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0356,LAXMI MED AGENCIES,S0270,PATNA,PATNA,BIHAR,EAST ZONE,ADLA73,ADLA72,,ADLA13,ADLA12,,ADLA02
011,SHREE BALAJI ENTERPRISES,PATNA,C0360,SHYAM PHARMA,S0270,PATNA,PATNA,BIHAR,EAST ZONE,ADLA73,ADLA72,,ADLA13,ADLA12,,ADLA02
