emp_id,hq_code,hq_name,brand,product_code,state,region,no_of_be,month_num,month_name,year,val_target_total,unit_target_total,val_target_per_be,unit_target_per_be
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,1,APRIL,2026,1.2457257394775658,656.8807533104724,1.2457257394775658,656.8807533104724
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,1,APRIL,2026,1.2457257394775658,656.8807533104724,1.2457257394775658,656.8807533104724
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,2,MAY,2026,1.021086671702923,538.4268469757972,1.021086671702923,538.4268469757972
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,2,MAY,2026,1.021086671702923,538.4268469757972,1.021086671702923,538.4268469757972
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,3,JUNE,2026,1.1654287032916761,614.5395092092579,1.1654287032916761,614.5395092092579
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,3,JUNE,2026,1.1654287032916761,614.5395092092579,1.1654287032916761,614.5395092092579
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,4,JULY,2026,1.1943874588854249,629.8096835233355,1.1943874588854249,629.8096835233355
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,4,JULY,2026,1.1943874588854249,629.8096835233355,1.1943874588854249,629.8096835233355
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,5,AUG,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,5,AUG,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,6,SEP,2026,1.1946714058924197,629.9594109616826,1.1946714058924197,629.9594109616826
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,6,SEP,2026,1.1946714058924197,629.9594109616826,1.1946714058924197,629.9594109616826
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,7,OCT,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,7,OCT,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,8,NOV,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,8,NOV,2026,1.2681896462550304,668.7261439439401,1.2681896462550304,668.7261439439401
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,9,DEC,2026,0.9863697248650236,520.12033417862,0.9863697248650236,520.12033417862
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,9,DEC,2026,0.9863697248650236,520.12033417862,0.9863697248650236,520.12033417862
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,10,JAN,2027,1.1272796855600271,594.4232390612801,1.1272796855600271,594.4232390612801
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,10,JAN,2027,1.1272796855600271,594.4232390612801,1.1272796855600271,594.4232390612801
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,11,FEB,2027,1.170934860258022,617.4429480812972,1.170934860258022,617.4429480812972
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,11,FEB,2027,1.170934860258022,617.4429480812972,1.170934860258022,617.4429480812972
ADLA95,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,12,MARCH,2027,1.1802529182965866,622.356431675471,1.1802529182965866,622.356431675471
ADLA96,S0262,MALDA POOL,AMINOGLOBIN-XT,I0156,WB,WB-Direct,1.0,12,MARCH,2027,1.1802529182965866,622.356431675471,1.1802529182965866,622.356431675471
ADLA95,S0262,MALDA POOL,ARDEN 250,I0003,WB,WB-Direct,1.0,1,APRIL,2026,0.2110530992689029,887.2623671286959,0.2110530992689029,887.2623671286959
ADLA96,S0262,MALDA POOL,ARDEN 250,I0003,WB,WB-Direct,1.0,1,APRIL,2026,0.2110530992689029,887.2623671286959,0.2110530992689029,887.2623671286959
ADLA95,S0262,MALDA POOL,ARDEN 250,I0003,WB,WB-Direct,1.0,2,MAY,2026,0.17299434366303518,727.2642353513902,0.17299434366303518,727.2642353513902
